,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,74.3875551700592,0.6387570824060401,1.1788021564483642,0.3953932959842023,0.01,{'model__C': 0.01},0.912175,0.91066,0.91281,0.911785,0.912415,0.911969,0.0007342983045057273,4
1,83.60513076782226,7.617831131912221,1.311851930618286,0.42746190111605575,0.1,{'model__C': 0.1},0.91952,0.91833,0.91999,0.919765,0.92055,0.9196310000000001,0.0007343459675112284,2
2,81.54270720481873,5.184077109477407,1.1027537345886231,0.3881005695356023,1.0,{'model__C': 1},0.919325,0.918575,0.919685,0.920305,0.920485,0.919675,0.0006907387349787206,1
3,71.71510052680969,13.105626482288967,0.568855094909668,0.11123255738735241,10.0,{'model__C': 10},0.919205,0.918375,0.91947,0.92025,0.92034,0.919528,0.0007235647863183973,3
